line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
283A,50,140,66,48.267,False,"[[634.2, 637.8], [628.92, 635.04], [628.849, 634.86], [628.779, 634.68], [628.712, 634.5], [628.645, 634.32], [628.581, 634.14], [628.517, 633.96], [628.455, 633.78], [628.394, 633.6], [628.334, 633.42], [628.275, 633.24], [628.217, 633.06], [628.16, 632.88], [628.103, 632.7], [628.047, 632.52], [627.992, 632.34], [627.937, 632.16], [627.882, 631.98], [627.828, 631.8], [627.774, 631.62], [627.72, 631.44], [619.08, 630.0], [612.0, 635.4], [606.84, 642.36], [600.48, 646.32], [600.498, 646.554], [600.516, 646.788], [600.534, 647.022], [600.552, 647.256], [600.57, 647.49], [600.588, 647.724], [600.606, 647.958], [600.624, 648.192], [600.642, 648.426], [600.66, 648.66], [600.678, 648.894], [600.696, 649.128], [600.714, 649.362], [600.732, 649.596], [600.75, 649.83], [600.768, 650.064], [600.786, 650.298], [600.804, 650.532], [600.822, 650.766], [600.84, 651.0]]",actual,10.6187,0.007313,0.093365,0.00126739,50.0,
L0042,51,52,66,61.417,False,"[[591.12, 906.72], [591.12, 910.56], [589.08, 918.24], [584.4, 922.08], [579.84, 940.2], [580.44, 950.52], [577.08, 964.681]]",actual,13.5117,0.009306,0.118802,0.00161269,50.0,
L0043,52,107,66,22.036,False,"[[584.4, 950.04], [606.12, 946.32]]",actual,4.8479,0.003339,0.042625,0.00057862,50.0,
L0044,52,107,66,19.472,False,"[[586.08, 953.041], [605.28, 949.8]]",actual,4.2838,0.00295,0.037666,0.0005113,50.0,
292N,52,105,66,50.399,False,"[[578.04, 962.281], [570.84, 954.481], [562.32, 950.64], [555.36, 948.36], [552.36, 942.84], [548.04, 943.68], [537.36, 937.32]]",actual,11.0878,0.007636,0.097489,0.00132338,50.0,
L0045,53,54,66,33.04,False,"[[279.72, 822.24], [283.68, 817.56], [294.12, 817.56], [297.12, 809.52], [303.72, 813.84]]",actual,7.2688,0.005006,0.063911,0.00086756,50.0,
243A,53,78,66,78.412,False,"[[279.24, 819.48], [282.0, 815.4], [294.0, 809.4], [323.4, 768.96], [333.12, 771.6]]",actual,17.2506,0.011881,0.151676,0.00205894,50.0,
L0046,53,83,66,19.32,False,"[[281.88, 823.8], [301.2, 823.8]]",actual,4.2504,0.002927,0.037372,0.0005073,50.0,
L0047,53,84,66,45.955,False,"[[274.32, 839.52], [311.04, 839.52], [311.219, 839.377], [311.397, 839.235], [311.572, 839.095], [311.747, 838.956], [311.919, 838.819], [312.091, 838.682], [312.261, 838.546], [312.43, 838.41], [312.598, 838.275], [312.765, 838.14], [312.931, 838.005], [313.096, 837.87], [313.261, 837.734], [313.425, 837.598], [313.588, 837.461], [313.751, 837.324], [313.914, 837.185], [314.076, 837.045], [314.238, 836.903], [314.4, 836.76], [318.84, 838.8]]",actual,10.1101,0.006963,0.088893,0.00120668,50.0,
243F,53,136,66,14.748,False,"[[264.48, 833.76], [270.48, 830.76], [278.52, 830.76]]",actual,3.2446,0.002235,0.028528,0.00038725,50.0,
